RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
434818,18K05429,2018-11-14 22:52:00,2018,11,22,14,3AF,ROBBERY,,FIREARM,NORTHWEST,FALLSTAFF,DRIVEWAY,39.36678443914656,-76.70935261297507,0.63,0.28,52000,0.22,Black
434819,18K05185,2018-11-14 14:04:00,2018,11,14,14,4E,COMMON ASSAULT,,UNKNOWN,NORTHERN,HOMELAND,APT/CONDO - OCCUPIED,39.35880608666909,-76.61180931179683,0.08,0.82,108000,0.04,White
434820,18I07772,2018-09-21 15:46:00,2018,9,15,21,6F,LARCENY,,UNKNOWN,EASTERN,GREENMOUNT WEST,STREET,39.30840609638307,-76.6124529731101,0.63,0.28,52000,0.22,Black
434821,18I35133,2018-09-21 14:09:00,2018,9,14,21,6J,LARCENY,,UNKNOWN,NORTHWEST,FOREST PARK,UNKNOWN,39.32387524948573,-76.67199387035933,0.88,0.05,38000,0.25,Black
434822,18I07826,2018-09-21 15:30:00,2018,9,15,21,6J,LARCENY,,UNKNOWN,CENTRAL,INNER HARBOR,APT/CONDO - OCCUPIED,39.287251407454896,-76.6128171111344,0.2,0.65,72000,0.1,White
434823,18I07682,2018-09-21 11:26:00,2018,9,11,21,2A,RAPE,,OTHER,SOUTHEAST,WASHINGTON HILL,OFFICE BUILDING,39.290960103089766,-76.59410668372458,0.63,0.28,52000,0.22,Black
434824,18I08020,2018-09-21 21:00:00,2018,9,21,21,5A,BURGLARY,,UNKNOWN,NORTHEAST,WALTHERSON,ROW/TOWNHOUSE-VAC,39.333304390048255,-76.5598886904349,0.84,0.08,38000,0.24,Black
434825,18I07830,2018-09-21 08:00:00,2018,9,8,21,5A,BURGLARY,,UNKNOWN,NORTHEAST,MORAVIA-WALTHER,ROW/TOWNHOUSE-OCC,39.342446290733776,-76.56506115870374,0.63,0.28,52000,0.22,Black
434826,18I07880,2018-09-21 18:15:00,2018,9,18,21,3B,ROBBERY,,UNKNOWN,NORTHERN,CHARLES VILLAGE,STREET,39.327227762067295,-76.61624144715577,0.18,0.68,52000,0.15,White
434827,18I07780,2018-09-21 13:45:00,2018,9,13,21,7A,AUTO THEFT,,UNKNOWN,SOUTHEAST,JONESTOWN,STREET,39.290128095772886,-76.60525740956273,0.35,0.5,48000,0.18,White
434828,18I07685,2018-09-21 12:23:00,2018,9,12,21,9S,SHOOTING,,FIREARM,EASTERN,EAST BALTIMORE MIDWAY,STREET,39.310537051275595,-76.6024150278594,0.93,0.02,26000,0.41,Black
434829,18I07552,2018-09-21 04:02:00,2018,9,4,21,4A,AGG. ASSAULT,,FIREARM,EASTERN,EAST BALTIMORE MIDWAY,STREET,39.31625532356382,-76.6062711540565,0.93,0.02,26000,0.41,Black
434830,18I07961,2018-09-21 20:00:00,2018,9,20,21,7A,AUTO THEFT,,UNKNOWN,NORTHERN,REMINGTON,STREET,39.32331255637358,-76.6234234114307,0.22,0.65,55000,0.13,White
434831,18I07530,2018-09-21 01:59:00,2018,9,1,21,9S,SHOOTING,,FIREARM,NORTHEAST,BELAIR-EDISON,STREET,39.316715841932485,-76.56696636024816,0.82,0.1,40000,0.22,Black
