City,Year,Month,Mode,Race_Category,N_Total,N_Detected,N_Reported,Detection_Rate,Reporting_Rate,N_Officers,Radius_ft,Reporting_Prob
Baltimore,2019,3,detected,Neither,96,11,67,0.114583,0.697917,60,700,0.521
Baltimore,2019,4,detected,Black,2846,84,1552,0.029515,0.545327,60,700,0.521
Baltimore,2019,4,detected,White,662,7,367,0.010574,0.554381,60,700,0.521
Baltimore,2019,4,detected,Neither,101,7,53,0.069307,0.524752,60,700,0.521
Baltimore,2019,5,detected,Black,3232,115,1759,0.035582,0.544245,60,700,0.521
Baltimore,2019,5,detected,White,722,0,380,0.0,0.526316,60,700,0.521
Baltimore,2019,5,detected,Neither,124,22,77,0.177419,0.620968,60,700,0.521
Baltimore,2019,6,detected,Black,3246,90,1684,0.027726,0.518792,60,700,0.521
Baltimore,2019,6,detected,White,738,0,377,0.0,0.51084,60,700,0.521
Baltimore,2019,6,detected,Neither,129,13,83,0.100775,0.643411,60,700,0.521
Baltimore,2019,7,detected,Black,3454,101,1889,0.029241,0.546902,60,700,0.521
Baltimore,2019,7,detected,White,854,0,464,0.0,0.543326,60,700,0.521
Baltimore,2019,7,detected,Neither,146,0,70,0.0,0.479452,60,700,0.521
Baltimore,2019,8,detected,Black,3461,77,1800,0.022248,0.520081,60,700,0.521
Baltimore,2019,8,detected,White,835,0,430,0.0,0.51497,60,700,0.521
Baltimore,2019,8,detected,Neither,125,0,60,0.0,0.48,60,700,0.521
Baltimore,2019,9,detected,Black,3165,55,1642,0.017378,0.518799,60,700,0.521
Baltimore,2019,9,detected,White,898,0,475,0.0,0.528953,60,700,0.521
Baltimore,2019,9,detected,Neither,124,0,73,0.0,0.58871,60,700,0.521
Baltimore,2019,10,detected,Black,2955,35,1495,0.011844,0.505922,60,700,0.521
Baltimore,2019,10,detected,White,769,0,408,0.0,0.530559,60,700,0.521
Baltimore,2019,10,detected,Neither,114,0,66,0.0,0.578947,60,700,0.521
Baltimore,2019,11,detected,Black,2771,45,1514,0.01624,0.546373,60,700,0.521
Baltimore,2019,11,detected,White,642,0,318,0.0,0.495327,60,700,0.521
Baltimore,2019,11,detected,Neither,93,0,46,0.0,0.494624,60,700,0.521
Baltimore,2019,12,detected,Black,2701,34,1424,0.012588,0.527212,60,700,0.521
Baltimore,2019,12,detected,White,609,0,321,0.0,0.527094,60,700,0.521
Baltimore,2019,12,detected,Neither,112,0,59,0.0,0.526786,60,700,0.521
